UF,Ano,Grupo,Medida,N_universo,N_com_registro,N_sem_registro,Media_pct,Mediana_pct,P90_pct,P95_pct,P99_pct,Max_pct,N_ge10,Pct_ge10,N_ge50,Pct_ge50,N_ge80,Pct_ge80,N_ge90,Pct_ge90,N_ge95,Pct_ge95,N_ge99,Pct_ge99,N_ge100,Pct_ge100,N_igual100,N_acima100,Pct_observada_ge95_no_universo
SE,2018,Eleitos,gasto_pct,8.0,8.0,0.0,46.9201475,36.3288448,83.9523736,83.9523736,83.9523736,83.9523736,8.0,100.0,3.0,37.5,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP,2018,Todos,gasto_pct,1483.0,1138.0,345.0,7.160228727240773,0.7994672,22.5985236,49.0801808,83.9127392,98.5294568,175.0,15.377855887521969,56.0,4.92091388400703,16.0,1.40597539543058,5.0,0.43936731107205623,1.0,0.08787346221441125,0.0,0.0,0.0,0.0,0.0,0.0,0.06743088334457181
SP,2018,Eleitos,gasto_pct,70.0,70.0,0.0,45.13521546857144,47.0567604,84.1343184,90.97704800000001,98.5294568,98.5294568,60.0,85.71428571428571,33.0,47.142857142857146,10.0,14.285714285714286,4.0,5.714285714285714,1.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286
TO,2018,Todos,gasto_pct,80.0,66.0,14.0,10.998938290909091,0.867058,37.999046,74.775394,95.96992960000001,95.96992960000001,15.0,22.727272727272727,5.0,7.575757575757576,3.0,4.545454545454546,2.0,3.0303030303030303,1.0,1.5151515151515151,0.0,0.0,0.0,0.0,0.0,0.0,1.25
TO,2018,Eleitos,gasto_pct,8.0,8.0,0.0,53.91444200000001,37.999046,95.96992960000001,95.96992960000001,95.96992960000001,95.96992960000001,8.0,100.0,3.0,37.5,3.0,37.5,2.0,25.0,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5
AC,2022,Todos,gasto_pct,128.0,115.0,13.0,12.98467035912857,4.138076456891101,42.66566644395178,59.53742003806852,78.89456753565769,84.80940745275538,38.0,33.04347826086956,11.0,9.565217391304348,1.0,0.8695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC,2022,Eleitos,gasto_pct,8.0,8.0,0.0,38.98437276513249,35.093880258418025,75.28240981168467,75.28240981168467,75.28240981168467,75.28240981168467,8.0,100.0,3.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2022,Todos,gasto_pct,154.0,131.0,23.0,15.379250308214653,5.966702104547886,58.106821820309584,72.7003872315171,98.55767719555266,99.09980301945129,48.0,36.6412213740458,17.0,12.977099236641221,3.0,2.2900763358778624,2.0,1.5267175572519085,2.0,1.5267175572519085,1.0,0.7633587786259542,0.0,0.0,0.0,0.0,1.2987012987012987
AL,2022,Eleitos,gasto_pct,9.0,9.0,0.0,60.7097244176222,70.0709453027978,99.09980301945129,99.09980301945129,99.09980301945129,99.09980301945129,8.0,88.88888888888889,6.0,66.66666666666667,2.0,22.22222222222222,2.0,22.22222222222222,2.0,22.22222222222222,1.0,11.11111111111111,0.0,0.0,0.0,0.0,22.22222222222222
AM,2022,Todos,gasto_pct,149.0,129.0,20.0,15.038703981202145,3.348829563794031,55.23131436259068,80.30751969009819,92.70539149313868,97.2616406778535,38.0,29.45736434108527,16.0,12.4031007751938,7.0,5.426356589147287,4.0,3.10077519379845,1.0,0.7751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.6711409395973155
AM,2022,Eleitos,gasto_pct,8.0,8.0,0.0,59.96532215966749,55.084396262785795,90.77939108161966,90.77939108161966,90.77939108161966,90.77939108161966,8.0,100.0,6.0,75.0,2.0,25.0,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP,2022,Todos,gasto_pct,134.0,119.0,15.0,13.990116211431035,7.686156940984439,34.67247133815641,56.62632862974484,70.23794888763331,92.78498986453177,54.0,45.378151260504204,8.0,6.722689075630252,1.0,0.8403361344537815,1.0,0.8403361344537815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP,2022,Eleitos,gasto_pct,8.0,8.0,0.0,18.975755568534115,7.571657745211315,55.99185862127946,55.99185862127946,55.99185862127946,55.99185862127946,4.0,50.0,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,2022,Todos,gasto_pct,669.0,580.0,89.0,10.184248428463155,1.464849285213708,35.331665793886344,62.27124365392658,94.16405675459266,99.51707257255669,120.0,20.689655172413794,44.0,7.586206896551724,14.0,2.413793103448276,10.0,1.7241379310344827,4.0,0.6896551724137931,1.0,0.1724137931034483,0.0,0.0,0.0,0.0,0.5979073243647235
BA,2022,Eleitos,gasto_pct,39.0,39.0,0.0,63.83931406238515,62.27124365392658,96.12229789067653,97.2328127511699,99.51707257255669,99.51707257255669,39.0,100.0,28.0,71.7948717948718,9.0,23.076923076923077,7.0,17.94871794871795,4.0,10.256410256410257,1.0,2.5641025641025643,0.0,0.0,0.0,0.0,10.256410256410257
CE,2022,Todos,gasto_pct,350.0,315.0,35.0,10.273691910558046,2.091185054729413,35.46803730623459,60.184269741827684,89.455660563809,94.06938490398645,67.0,21.26984126984127,17.0,5.396825396825397,8.0,2.5396825396825395,2.0,0.6349206349206349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE,2022,Eleitos,gasto_pct,22.0,22.0,0.0,52.42244553898018,42.05104959463967,89.455660563809,89.82097852492605,92.2002851293309,92.2002851293309,22.0,100.0,9.0,40.90909090909091,5.0,22.727272727272727,1.0,4.545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DF,2022,Todos,gasto_pct,197.0,176.0,21.0,11.721168472665955,3.399890888057261,40.5381834615311,58.75840870537277,91.46056992440214,92.06877199810074,52.0,29.545454545454547,15.0,8.522727272727273,3.0,1.7045454545454546,2.0,1.1363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
