Ano,UF,Partido,Magnitude,Regra,C,Financiados,E,Recursos R$,NECr,K,Recursos no núcleo R$,Massa de recursos %,Amplitude %,Excesso de massa pp,Fronteira válida,Distância relativa no corte %,Empate na fronteira,Candidatos com peso fracionário,Posições fracionárias,Acertos,Acertos mínimos por desempate,Acertos máximos por desempate,Esperado aleatório,Esperado entre financiados,K sorteio financiados,Eleitos financiados,Jaccard com principal,Composição idêntica à principal,Reescala x7 preserva implementação
2018,AC,PODE,8–12,Acumulado ≥ 80%,2,1,0,100000.0,1.0,1,100000.0,100.0,50.0,50.0,True,100.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PODE,8–12,Receitas arredondadas a centavos,2,1,0,100000.0,1.0,1,100000.0,100.0,50.0,50.0,True,100.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PP,8–12,Arredondado,3,3,0,1322040.0,2.0665566116075627,2,1222040.0,92.43593234697892,66.66666666666666,25.769265680312248,True,75.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1.0,True,True
2018,AC,PP,8–12,Piso,3,3,0,1322040.0,2.0665566116075627,2,1222040.0,92.43593234697892,66.66666666666666,25.769265680312248,True,75.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1.0,True,True
2018,AC,PP,8–12,Teto,3,3,0,1322040.0,2.0665566116075627,3,1322040.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.6666666666666666,False,True
2018,AC,PP,8–12,Uma posição a menos,3,3,0,1322040.0,2.0665566116075627,1,822040.0,62.17966173489455,33.33333333333333,28.846328401561223,True,51.34056736898448,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.5,False,True
2018,AC,PP,8–12,Uma posição a mais,3,3,0,1322040.0,2.0665566116075627,3,1322040.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.6666666666666666,False,True
2018,AC,PP,8–12,Acumulado ≥ 80%,3,3,0,1322040.0,2.0665566116075627,2,1222040.0,92.43593234697892,66.66666666666666,25.769265680312248,True,75.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1.0,True,True
2018,AC,PP,8–12,Receitas arredondadas a centavos,3,3,0,1322040.0,2.0665566116075627,2,1222040.0,92.43593234697892,66.66666666666666,25.769265680312248,True,75.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1.0,True,True
2018,AC,PPL,8–12,Arredondado,1,1,0,4637.5,1.0,1,4637.5,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PPL,8–12,Piso,1,1,0,4637.5,1.0,1,4637.5,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PPL,8–12,Teto,1,1,0,4637.5,1.0,1,4637.5,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PPL,8–12,Uma posição a menos,1,1,0,4637.5,1.0,1,4637.5,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PPL,8–12,Uma posição a mais,1,1,0,4637.5,1.0,1,4637.5,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PPL,8–12,Acumulado ≥ 80%,1,1,0,4637.5,1.0,1,4637.5,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PPL,8–12,Receitas arredondadas a centavos,1,1,0,4637.5,1.0,1,4637.5,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PPS,8–12,Arredondado,1,1,0,498048.04,1.0,1,498048.04,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PPS,8–12,Piso,1,1,0,498048.04,1.0,1,498048.04,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PPS,8–12,Teto,1,1,0,498048.04,1.0,1,498048.04,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PPS,8–12,Uma posição a menos,1,1,0,498048.04,1.0,1,498048.04,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PPS,8–12,Uma posição a mais,1,1,0,498048.04,1.0,1,498048.04,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PPS,8–12,Acumulado ≥ 80%,1,1,0,498048.04,1.0,1,498048.04,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PPS,8–12,Receitas arredondadas a centavos,1,1,0,498048.04,1.0,1,498048.04,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PR,8–12,Arredondado,1,1,0,1500000.0,1.0,1,1500000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PR,8–12,Piso,1,1,0,1500000.0,1.0,1,1500000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PR,8–12,Teto,1,1,0,1500000.0,1.0,1,1500000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PR,8–12,Uma posição a menos,1,1,0,1500000.0,1.0,1,1500000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PR,8–12,Uma posição a mais,1,1,0,1500000.0,1.0,1,1500000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PR,8–12,Acumulado ≥ 80%,1,1,0,1500000.0,1.0,1,1500000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PR,8–12,Receitas arredondadas a centavos,1,1,0,1500000.0,1.0,1,1500000.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PROS,8–12,Arredondado,2,1,0,316985.0,1.0,1,316985.0,100.0,50.0,50.0,True,100.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PROS,8–12,Piso,2,1,0,316985.0,1.0,1,316985.0,100.0,50.0,50.0,True,100.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PROS,8–12,Teto,2,1,0,316985.0,1.0,1,316985.0,100.0,50.0,50.0,True,100.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PROS,8–12,Uma posição a menos,2,1,0,316985.0,1.0,1,316985.0,100.0,50.0,50.0,True,100.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PROS,8–12,Uma posição a mais,2,1,0,316985.0,1.0,2,316985.0,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.5,False,True
2018,AC,PROS,8–12,Acumulado ≥ 80%,2,1,0,316985.0,1.0,1,316985.0,100.0,50.0,50.0,True,100.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PROS,8–12,Receitas arredondadas a centavos,2,1,0,316985.0,1.0,1,316985.0,100.0,50.0,50.0,True,100.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,True,True
2018,AC,PRP,8–12,Arredondado,3,3,0,61883.04,2.2484531859599635,2,55991.520000000004,90.47958859163998,66.66666666666666,23.812921924973317,True,71.79946696075729,False,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1.0,True,True
2018,AC,PRP,8–12,Piso,3,3,0,61883.04,2.2484531859599635,2,55991.520000000004,90.47958859163998,66.66666666666666,23.812921924973317,True,71.79946696075729,False,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1.0,True,True
2018,AC,PRP,8–12,Teto,3,3,0,61883.04,2.2484531859599635,3,61883.04,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.6666666666666666,False,True
2018,AC,PRP,8–12,Uma posição a menos,3,3,0,61883.04,2.2484531859599635,1,35100.0,56.71990257750751,33.33333333333333,23.386569244174176,True,40.48,False,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.5,False,True
2018,AC,PRP,8–12,Uma posição a mais,3,3,0,61883.04,2.2484531859599635,3,61883.04,100.0,100.0,0.0,False,,False,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.6666666666666666,False,True
