Ano,UF,Partido,C,NECr,K,Massa de recursos %,Amplitude %,Distância relativa no corte %,Fronteira válida,Empate na fronteira,Candidatos com peso fracionário
2018,CE,PDT,14,3.1378905102340613,3,96.08938547486034,21.428571428571427,90.0,True,False,0
2018,CE,PHS,5,2.4568573606572817,2,83.2501398284068,40.0,67.988,True,False,0
2018,CE,PMN,3,1.1740989615149664,1,91.93548387096774,33.33333333333333,91.22807017543859,True,False,0
2018,CE,PODE,3,1.0,1,100.0,33.33333333333333,100.0,True,False,0
2018,CE,PP,3,1.8673689498124655,2,95.66866581529038,66.66666666666666,84.71609969243164,True,False,0
2018,CE,PPL,2,,0,,0.0,,False,False,0
2018,CE,PPS,5,1.247117644876788,1,89.29768422526814,20.0,93.15143604541318,True,False,0
2018,CE,PR,4,1.9686320127447725,2,99.35379636562698,50.0,99.11764705882354,True,False,0
2018,CE,PRB,1,1.0,1,100.0,100.0,,False,False,0
2018,CE,PROS,30,5.719352282766164,6,83.17013984449088,20.0,8.67579908675799,True,False,0
2018,CE,PRP,1,1.0,1,100.0,100.0,,False,False,0
2018,CE,PRTB,5,3.5692446376955704,4,90.04277031590006,80.0,0.475,True,False,0
2018,CE,PSB,3,1.7593577144084636,2,93.92265193370166,66.66666666666666,72.5,True,False,0
2018,CE,PSC,1,1.0,1,100.0,100.0,,False,False,0
2018,CE,PSD,5,1.9756965538472115,2,97.95624366270886,40.0,96.36363636363636,True,False,0
2018,CE,PSDB,13,3.9441375771508183,4,89.92788409381728,30.76923076923077,65.5315457878084,True,False,0
2018,CE,PSL,21,1.0,1,100.0,4.761904761904762,100.0,True,False,0
2018,CE,PSOL,23,5.846991011512569,6,71.77300112692373,26.08695652173913,0.0,True,True,3
2018,CE,PSTU,1,,0,,0.0,,False,False,0
2018,CE,PT,12,4.5697924510402155,5,92.84892331535846,41.66666666666667,0.7923441264047855,True,False,0
2018,CE,PTB,2,1.6536817102137766,2,100.0,100.0,,False,False,0
2018,CE,PV,2,1.031676969497813,1,98.440460940307,50.0,98.41575400521674,True,False,0
2018,CE,REDE,15,13.465453689906674,13,94.02730375426621,86.66666666666667,5.405405405405405,True,False,0
2018,CE,SOLIDARIEDADE,2,1.5347800813795776,2,100.0,100.0,,False,False,0
2018,DF,AVANTE,8,6.720373540372146,7,93.65218309561358,87.5,13.441192166901656,True,False,0
2018,DF,DC,10,9.929373971578451,10,100.0,100.0,,False,False,0
2018,DF,DEM,3,1.0,1,100.0,33.33333333333333,100.0,True,False,0
2018,DF,MDB,3,1.3637565986407543,1,84.70370381917135,33.33333333333333,85.6266117444061,True,False,0
2018,DF,NOVO,6,4.473596548192738,4,76.62595056225652,66.66666666666666,0.0,True,True,4
2018,DF,PATRI,1,1.0,1,100.0,100.0,,False,False,0
2018,DF,PC DO B,2,1.1732012610744524,1,91.97431781701445,50.0,91.2739965095986,True,False,0
2018,DF,PCB,1,1.0,1,100.0,100.0,,False,False,0
2018,DF,PDT,4,2.3381004637332294,2,80.54474708171206,50.0,12.280701754385964,True,False,0
2018,DF,PHS,3,2.2889827408019205,2,92.09036261288071,66.66666666666666,80.37610000000001,True,False,0
2018,DF,PMB,1,1.0,1,100.0,100.0,,False,False,0
2018,DF,PMN,5,1.0,1,100.0,20.0,100.0,True,False,0
2018,DF,PODE,1,1.0,1,100.0,100.0,,False,False,0
2018,DF,PP,2,1.828276217465983,2,100.0,100.0,,False,False,0
2018,DF,PPL,13,6.050131102092196,6,88.20324495856443,46.15384615384615,9.405634624959216,True,False,0
2018,DF,PPS,4,1.6959479705588203,2,88.04870715574263,50.0,36.989498249708284,True,False,0
