ano_eleicao,sg_partido_norm,alvo,n_listas,H_observado,E_esperado,lift,denominador_pequeno
2022,UNIAO,competitivos,26,122.0,86.4470337230634,1.4112687821172902,False
2022,AGIR,competitivos,22,1.0,0.8571428571428571,1.1666666666666667,True
2022,DC,competitivos,21,0.0,0.48,0.0,True
2022,PCB,competitivos,10,0.0,0.0,,True
2022,PCO,competitivos,13,0.0,0.0,,True
2022,PSTU,competitivos,13,0.0,0.0,,True
2022,UP,competitivos,13,0.0,0.0,,True
2022,PROS,eleitos,22,3.0,0.4890386343216532,6.134484659195297,True
2022,REDE,eleitos,25,2.0,0.36507936507936506,5.478260869565218,True
2022,SOLIDARIEDADE,eleitos,24,4.0,0.8714311693035097,4.590150250417362,True
2022,PSC,eleitos,23,6.0,1.5005002087753834,3.998666554599705,True
2022,AVANTE,eleitos,21,7.0,1.9273504273504274,3.631929046563193,True
2022,PATRIOTA,eleitos,26,4.0,1.1857585139318885,3.3733681462140996,True
2022,PSOL,eleitos,27,12.0,3.805241364280266,3.153545032029713,True
2022,NOVO,eleitos,17,2.0,0.7069597069597069,2.829015544041451,True
2022,PSDB,eleitos,25,12.0,4.927498325321438,2.435312852027646,True
2022,PODE,eleitos,26,10.5,4.486642106918432,2.340280269694106,True
2022,PDT,eleitos,27,17.0,7.360298619509146,2.309688896988492,False
2022,PSB,eleitos,25,13.0,5.733982536318681,2.2671851401114016,False
2022,PL,eleitos,25,79.6923076923077,35.3777479240601,2.2526111007227128,False
2022,CIDADANIA,eleitos,23,4.0,1.8138888888888889,2.2052067381316998,True
2022,PT,eleitos,27,68.0,31.377859541932768,2.1671331630867336,False
2022,MDB,eleitos,25,35.5,16.587088973118384,2.1402188206461386,False
2022,REPUBLICANOS,eleitos,27,40.0,18.784044685516296,2.1294668251530817,False
2022,PP,eleitos,25,47.0,22.400825801843293,2.0981369354755,False
2022,PSD,eleitos,26,40.0,21.49915249336185,1.8605384566833754,False
2022,PC DO B,eleitos,24,6.0,3.2333333333333334,1.8556701030927836,True
2022,UNIAO,eleitos,26,58.5,36.753758777916026,1.5916739388067835,False
2022,PV,eleitos,27,4.0,3.125,1.28,True
2022,PTB,eleitos,26,0.0,0.10638297872340426,0.0,True
2022,AGIR,eleitos,22,0.0,0.0,,True
2022,DC,eleitos,21,0.0,0.0,,True
2022,PCB,eleitos,10,0.0,0.0,,True
2022,PCO,eleitos,13,0.0,0.0,,True
2022,PMB,eleitos,16,0.0,0.0,,True
2022,PMN,eleitos,15,0.0,0.0,,True
2022,PRTB,eleitos,19,0.0,0.0,,True
2022,PSTU,eleitos,13,0.0,0.0,,True
2022,UP,eleitos,13,0.0,0.0,,True
2018+2022,PATRI,competitivos,26,11.0,3.3254622005046457,3.3078108656086145,True
2018+2022,PMN,competitivos,41,9.0,2.90855350393794,3.0943216233824637,True
2018+2022,CIDADANIA,competitivos,23,15.0,5.249242424242424,2.8575552027709628,False
2018+2022,PDT,competitivos,54,77.83333333333333,31.720228922035066,2.453744376329671,False
2018+2022,PSC,competitivos,50,46.0,19.874624962538988,2.3145090831501904,False
