Ano,Partido,UF,Candidato,Peso fora,vr_receita_recursos_partidos,proprios,pessoas_fisicas,Eleito federal no pleito anterior,"Vitória federal mais antiga, sem vitória no pleito anterior",Vitória anterior para deputado estadual/distrital,Vitória anterior para prefeito,Vitória anterior para vereador,Votação histórica ≥ 10% do QE,Alguma vitória eleitoral anterior,Sem vitória nem votação relevante registrada,Mulheres,Pessoas pretas ou pardas
2022,MDB,PA,ANTONIO LEOCADIO DOS SANTOS,1.0,70000.0,317490.0,606520.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,MDB,PA,KENISTON DE JESUS REGO BRAGA,1.0,70000.0,0.0,1698300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,MDB,PA,HENDERSON LIRA PINTO,1.0,125000.0,0.0,223997.83,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
2022,MDB,PA,ALESSANDRA HABER CARVALHO SANTOS,0.5,387500.0,190000.0,619829.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022,MDB,PA,RENILCE CONCEIÇÃO NICODEMOS DE ALBUQUERQUE,0.5,387500.0,238000.0,811335.98,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
2022,MDB,SP,MARIO PALUMBO JUNIOR,1.0,0.0,160000.0,420028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,NOVO,SC,GILSON MARQUES VIEIRA,1.0,13041.53,150.0,974293.92,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022,PL,AP,SILVIA NOBRE LOPES,1.0,126000.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022,PL,CE,YURY BRUNO ALENCAR ARAÚJO,1.0,500000.0,18000.0,324654.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,PL,CE,ANTONIO LUIZ RODRIGUES MANO JUNIOR,1.0,500000.0,36390.0,31100.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2022,PL,GO,GUSTAVO GAYER MACHADO DE ARAUJO,1.0,0.0,40000.0,12709.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,PL,GO,DANIEL VIEIRA RAMOS,1.0,350000.0,300000.0,686788.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,PL,MG,NIKOLAS FERREIRA DE OLIVEIRA,1.0,5979.42,0.0,249423.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,PL,PA,JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,1.0,0.0,127000.0,329650.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2022,PL,PE,LUIZ DE FRANÇA E SILVA MEIRA,1.0,173011.0,0.0,11000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022,PL,RJ,CARLOS ROBERTO COELHO DE MATTOS JUNIOR,0.3846153846153846,500000.0,10000.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2022,PL,RJ,CHRISTINE NOGUEIRA DOS REIS TONIETTO,0.3846153846153846,500000.0,0.0,2720.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2022,PL,RJ,ALEXANDRE RAMAGEM RODRIGUES,0.3846153846153846,500000.0,33000.0,245000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,PL,RJ,LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA,0.3846153846153846,500000.0,106756.23,500.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022,PL,RJ,LUCIANO VIEIRA MENDES,0.3846153846153846,500000.0,165900.0,74250.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2022,PL,RJ,ALTINEU CORTES FREITAS COUTINHO,0.3846153846153846,500000.0,60000.0,615000.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2022,PL,RJ,ROBERTO LUIZ RODRIGUES DE OLIVEIRA,1.0,64385.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2022,PL,RN,EVANDRO GONÇALVES DA SILVA JUNIOR,1.0,2000.0,8793.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,PL,RS,UBIRATAN ANTUNES SANDERSON,1.0,0.0,0.0,414152.22,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022,PL,SC,CAROLINE RODRIGUES DE TONI,1.0,0.0,13630.0,416250.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2022,PL,SC,MARCOS ANTONIO PEREIRA GOMES,0.5,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,PL,SC,JORGE GOETTEN DE LIMA,0.5,500000.0,262780.0,324500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022,PL,SP,JOSÉ AUGUSTO ROSA,1.0,505240.62,6500.0,369960.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022,PL,SP,LUIZ PHILIPPE DE ORLEANS E BRAGANÇA,1.0,5240.63,0.0,404620.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022,PL,SP,PAULO FRANCISCO MUNIZ BILYNSKYJ,1.0,201431.42,0.0,6600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,PL,SP,MARCIO LUIZ ALVINO DE SOUZA,1.0,5240.63,40360.0,920420.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022,PODE,RJ,JOSE PORTUGAL NETO,0.5,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2022,PODE,RS,MAURICIO BEDIN MARCON,1.0,0.0,1.0,46287.22,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2022,PSB,SP,TABATA CLAUDIA AMARAL DE PONTES,1.0,197935.0,0.0,2016944.78,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2022,PSD,GO,ISMAEL ALEXANDRINO JUNIOR,1.0,200000.0,29000.0,481622.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,PSD,PA,JOÃO FERRARI JÚNIOR,1.0,0.0,310000.0,213750.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022,PSDB,SP,CARLOS HENRIQUE FOCESI SAMPAIO,1.0,32333.36,0.0,2439328.85,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022,PT,PI,FLORENTINO ALVES VERAS NETO,1.0,66000.0,0.0,801505.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022,PTB,RJ,CARLOS ROBERTO RODRIGUES,1.0,353775.0,0.0,73000.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,
2022,PV,AL,LUCIANO SURUAGY DO AMARAL FILHO,1.0,30489.0,88535.02,222500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,PV,PI,JADYEL SILVA ALENCAR,1.0,0.0,290400.0,317926.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2022,UNIAO,MT,FÁBIO PAULINO GARCIA,0.5,1080000.0,300000.0,921043.4,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
