Ano,Partido,UF,C,E,K,A,M,magnitude,esperado,amplitude,cobertura,precisao
2018,PDT,PI,1,1,1.0,1.0,10,8–12,1.0,100.0,100.0,100.0
2018,PDT,PR,9,1,3.0,1.0,30,16–31,0.3333333333333333,33.333333333333336,100.0,33.333333333333336
2018,PDT,RJ,49,2,5.0,2.0,46,39–70,0.20408163265306123,10.204081632653061,100.0,40.0
2018,PDT,RN,4,0,3.0,0.0,8,8–12,0.0,75.0,,0.0
2018,PDT,RO,3,1,1.0,1.0,8,8–12,0.3333333333333333,33.333333333333336,100.0,100.0
2018,PDT,RR,3,0,2.0,0.0,8,8–12,0.0,66.66666666666667,,0.0
2018,PDT,RS,23,3,4.0,3.0,31,16–31,0.5217391304347826,17.391304347826086,100.0,75.0
2018,PDT,SC,1,0,1.0,0.0,16,16–31,0.0,100.0,,0.0
2018,PDT,SE,3,1,2.0,1.0,8,8–12,0.6666666666666666,66.66666666666667,100.0,50.0
2018,PDT,SP,25,1,5.0,1.0,70,39–70,0.2,20.0,100.0,20.0
2018,PDT,TO,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PHS,AC,2,0,2.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PHS,AL,6,0,4.0,0.0,9,8–12,0.0,66.66666666666667,,0.0
2018,PHS,AM,2,0,2.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PHS,AP,6,0,4.0,0.0,8,8–12,0.0,66.66666666666667,,0.0
2018,PHS,BA,25,2,4.0,1.0,39,39–70,0.32,16.0,50.0,25.0
2018,PHS,CE,5,0,2.0,0.0,22,16–31,0.0,40.0,,0.0
2018,PHS,DF,3,0,2.0,0.0,8,8–12,0.0,66.66666666666667,,0.0
2018,PHS,ES,3,0,2.0,0.0,10,8–12,0.0,66.66666666666667,,0.0
2018,PHS,GO,20,0,8.0,0.0,17,16–31,0.0,40.0,,0.0
2018,PHS,MA,12,0,6.0,0.0,18,16–31,0.0,50.0,,0.0
2018,PHS,MG,71,2,2.0,1.0,53,39–70,0.056338028169014086,2.816901408450704,50.0,50.0
2018,PHS,MS,4,0,3.0,0.0,8,8–12,0.0,75.0,,0.0
2018,PHS,MT,3,0,2.0,0.0,8,8–12,0.0,66.66666666666667,,0.0
2018,PHS,PA,5,0,1.0,0.0,17,16–31,0.0,20.0,,0.0
2018,PHS,PB,5,0,4.0,0.0,12,8–12,0.0,80.0,,0.0
2018,PHS,PE,10,1,6.0,1.0,25,16–31,0.6,60.0,100.0,16.666666666666668
2018,PHS,PI,4,0,2.0,0.0,10,8–12,0.0,50.0,,0.0
2018,PHS,PR,11,0,2.0,0.0,30,16–31,0.0,18.181818181818183,,0.0
2018,PHS,RJ,63,1,2.0,0.0,46,39–70,0.031746031746031744,3.1746031746031744,0.0,0.0
2018,PHS,RN,4,0,4.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PHS,RO,4,0,3.0,0.0,8,8–12,0.0,75.0,,0.0
2018,PHS,RR,7,0,1.0,0.0,8,8–12,0.0,14.285714285714286,,0.0
2018,PHS,RS,3,0,3.0,0.0,31,16–31,0.0,100.0,,0.0
2018,PHS,SC,2,0,0.0,0.0,16,16–31,0.0,0.0,,
2018,PHS,SE,3,0,3.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PHS,SP,11,0,3.0,0.0,70,39–70,0.0,27.272727272727273,,0.0
2018,PHS,TO,2,0,2.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PMB,AC,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PMB,AM,9,0,2.0,0.0,8,8–12,0.0,22.22222222222222,,0.0
2018,PMB,BA,1,0,1.0,0.0,39,39–70,0.0,100.0,,0.0
2018,PMB,DF,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PMB,ES,5,0,4.0,0.0,10,8–12,0.0,80.0,,0.0
2018,PMB,MA,3,0,1.0,0.0,18,16–31,0.0,33.333333333333336,,0.0
2018,PMB,MG,5,0,0.0,0.0,53,39–70,0.0,0.0,,
2018,PMB,MS,1,0,0.0,0.0,8,8–12,0.0,0.0,,
2018,PMB,MT,1,0,0.0,0.0,8,8–12,0.0,0.0,,
2018,PMB,PA,1,0,1.0,0.0,17,16–31,0.0,100.0,,0.0
2018,PMB,PR,2,0,0.0,0.0,30,16–31,0.0,0.0,,
2018,PMB,RJ,37,0,1.0,0.0,46,39–70,0.0,2.7027027027027026,,0.0
2018,PMB,RN,2,0,0.0,0.0,8,8–12,0.0,0.0,,
2018,PMB,RO,1,0,0.0,0.0,8,8–12,0.0,0.0,,
2018,PMB,RR,2,0,1.0,0.0,8,8–12,0.0,50.0,,0.0
2018,PMB,RS,12,0,1.0,0.0,31,16–31,0.0,8.333333333333334,,0.0
2018,PMB,SP,10,0,0.0,0.0,70,39–70,0.0,0.0,,
2018,PMB,TO,2,0,0.0,0.0,8,8–12,0.0,0.0,,
2018,PMN,AC,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PMN,AL,1,0,1.0,0.0,9,8–12,0.0,100.0,,0.0
2018,PMN,AM,7,0,3.0,0.0,8,8–12,0.0,42.857142857142854,,0.0
2018,PMN,AP,3,0,3.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PMN,BA,8,0,2.0,0.0,39,39–70,0.0,25.0,,0.0
2018,PMN,CE,3,0,1.0,0.0,22,16–31,0.0,33.333333333333336,,0.0
2018,PMN,DF,5,0,1.0,0.0,8,8–12,0.0,20.0,,0.0
2018,PMN,ES,1,0,1.0,0.0,10,8–12,0.0,100.0,,0.0
2018,PMN,GO,4,0,2.0,0.0,17,16–31,0.0,50.0,,0.0
2018,PMN,MA,12,2,3.0,2.0,18,16–31,0.5,25.0,100.0,66.66666666666667
2018,PMN,MG,12,1,1.0,1.0,53,39–70,0.08333333333333333,8.333333333333334,100.0,100.0
2018,PMN,MS,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PMN,MT,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PMN,PA,3,0,1.0,0.0,17,16–31,0.0,33.333333333333336,,0.0
2018,PMN,PB,2,0,1.0,0.0,12,8–12,0.0,50.0,,0.0
2018,PMN,PE,11,0,1.0,0.0,25,16–31,0.0,9.090909090909092,,0.0
2018,PMN,PI,4,0,1.0,0.0,10,8–12,0.0,25.0,,0.0
2018,PMN,PR,3,0,1.0,0.0,30,16–31,0.0,33.333333333333336,,0.0
2018,PMN,RJ,19,0,1.0,0.0,46,39–70,0.0,5.2631578947368425,,0.0
2018,PMN,RN,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PMN,RO,4,0,2.0,0.0,8,8–12,0.0,50.0,,0.0
2018,PMN,RS,3,0,1.0,0.0,31,16–31,0.0,33.333333333333336,,0.0
2018,PMN,SC,5,0,2.0,0.0,16,16–31,0.0,40.0,,0.0
2018,PMN,SE,4,0,1.0,0.0,8,8–12,0.0,25.0,,0.0
2018,PMN,SP,44,0,5.0,0.0,70,39–70,0.0,11.363636363636363,,0.0
2018,PMN,TO,2,0,1.0,0.0,8,8–12,0.0,50.0,,0.0
2018,PODE,AC,2,0,1.0,0.0,8,8–12,0.0,50.0,,0.0
2018,PODE,AL,1,0,0.0,0.0,9,8–12,0.0,0.0,,
2018,PODE,AM,5,0,3.0,0.0,8,8–12,0.0,60.0,,0.0
2018,PODE,AP,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PODE,BA,4,1,1.0,1.0,39,39–70,0.25,25.0,100.0,100.0
2018,PODE,CE,3,0,1.0,0.0,22,16–31,0.0,33.333333333333336,,0.0
2018,PODE,DF,1,0,1.0,0.0,8,8–12,0.0,100.0,,0.0
2018,PODE,ES,6,0,6.0,0.0,10,8–12,0.0,100.0,,0.0
2018,PODE,GO,4,1,2.0,1.0,17,16–31,0.5,50.0,100.0,50.0
2018,PODE,MA,5,1,2.0,1.0,18,16–31,0.4,40.0,100.0,50.0
2018,PODE,MG,26,1,4.0,0.0,53,39–70,0.15384615384615385,15.384615384615385,0.0,0.0
2018,PODE,MS,5,0,4.0,0.0,8,8–12,0.0,80.0,,0.0
2018,PODE,MT,2,1,1.0,1.0,8,8–12,0.5,50.0,100.0,100.0
2018,PODE,PA,1,0,1.0,0.0,17,16–31,0.0,100.0,,0.0
2018,PODE,PB,2,0,1.0,0.0,12,8–12,0.0,50.0,,0.0
2018,PODE,PE,2,1,1.0,1.0,25,16–31,0.5,50.0,100.0,100.0
2018,PODE,PI,2,0,0.0,0.0,10,8–12,0.0,0.0,,
2018,PODE,PR,9,1,2.0,1.0,30,16–31,0.2222222222222222,22.22222222222222,100.0,50.0
2018,PODE,RJ,38,0,2.0,0.0,46,39–70,0.0,5.2631578947368425,,0.0
