ano_eleicao,sg_uf,sg_partido,nr_candidato,nm_candidato,comp_rrd,comp_texto,comp_cod_ok,comp_cod_kf,vit_texto,qe_texto,vit_prefeito_rrd,vit_prefeito_ok,vit_distrital,qe_majoritario,qe_rrd,qe_prop_ok,eleito,vr_receita_recursos_partidos
2018,DF,PSOL,5077,INOCÊNCIO CALTAGIRONI DANTAS,False,False,False,False,False,False,False,False,False,False,False,False,0,2268.29
2018,DF,PSOL,5088,EVELIN MACIEL BRISOLLA,False,False,False,False,False,False,False,False,False,False,False,False,0,7202.62
2018,DF,PSTU,1616,ELCIMARA AUGUSTO DE SOUZA,False,False,False,False,False,False,False,False,False,False,False,False,0,2487.9300000000003
2018,DF,PT,1300,ABIAS DE SOUSA SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,15000.0
2018,DF,PT,1303,ANA CRISTINA ROBERTO,False,False,False,False,False,False,False,False,False,False,False,False,0,74500.0
2018,DF,PT,1307,WALTER CELIO DE ALMEIDA,False,False,False,False,False,False,False,False,False,False,False,False,0,15000.0
2018,DF,PT,1310,MARIA AMERICA MENEZES BONFIM HAMU,False,False,False,False,False,False,False,False,False,False,False,False,0,399000.0
2018,DF,PT,1311,OSNI DE SOUZA CALIXTO,False,False,False,False,False,False,False,False,False,False,False,False,0,15000.0
2018,DF,PT,1312,EXPEDITO AFONSO VELOSO,False,False,False,False,False,False,False,False,False,False,False,False,0,15000.0
2018,DF,PT,1313,ANTONIO SABINO DE VASCONCELOS NETO,False,False,False,False,False,False,False,False,False,False,False,False,0,15882.35
2018,DF,PT,1317,LUIZ FERNANDO CASTELO BRANCO REBELLO HORTA,False,False,False,False,False,False,False,False,False,False,False,False,0,15000.0
2018,DF,PT,1318,GERALDO MAGELLA ALMEIDA SALVADO,False,False,False,False,False,False,False,False,False,False,False,False,0,15000.0
2018,DF,PT,1320,GÉSSYCA ALVES DE SOUZA,False,False,False,False,False,False,False,False,False,False,False,False,0,399000.0
2018,DF,PT,1321,REBECA GOMES DE FREITAS,False,False,False,False,False,False,False,False,False,False,False,False,0,10000.0
2018,DF,PT,1322,ROBERTO CARLOS PINHEIRO SOUSA,False,False,False,False,False,False,False,False,False,False,False,False,0,15000.0
2018,DF,PT,1324,VANESSA NEGRINI,False,False,False,False,False,False,False,False,False,False,False,False,0,74500.0
2018,DF,PT,1331,ERIKA JUCA KOKAY,True,True,True,True,True,True,False,False,True,False,True,True,1,1009000.0
2018,DF,PT,1333,JOAQUIM RODRIGUES DOS SANTOS FILHO,False,False,False,False,False,False,False,False,False,False,False,False,0,15000.0
2018,DF,PT,1369,DANIEL QUEIROZ GALVÃO,False,False,False,False,False,False,False,False,False,False,False,False,0,15000.0
2018,DF,PTB,1444,MIGUEL LUCENA FILHO,False,False,False,False,False,False,False,False,False,False,False,False,0,185000.0
2018,DF,PTC,3600,GEORGIOS STAIKOS TZEMOS,True,True,True,True,False,True,False,False,False,False,True,True,0,200000.0
2018,DF,PTC,3617,NAIARA LOURENÇO,False,False,False,False,False,False,False,False,False,False,False,False,0,10000.0
2018,DF,PTC,3635,LURI SAEKI,False,False,False,False,False,False,False,False,False,False,False,False,0,10000.0
2018,DF,PTC,3636,ELIOMAR RODRIGUES DE SOUZA,False,False,False,False,False,False,False,False,False,False,False,False,0,10000.0
2018,DF,PTC,3663,GERARDO ALVES LIMA FILHO,False,False,False,False,False,False,False,False,False,False,False,False,0,10000.0
2018,DF,PTC,3677,SAMIA WALESKA PEREIRA BARBOSA DE CARVALHO,False,False,False,False,False,False,False,False,False,False,False,False,0,10000.0
2018,DF,PV,4333,RAYSSA LEITE DE CASTRO TOMAZ DA SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,134300.0
2018,DF,PV,4343,ISRAEL MATOS BATISTA,True,False,True,True,False,False,False,False,True,False,False,False,1,450000.0
2018,DF,REDE,1800,MAURÍLIO BRAZ SANTANA JUNIOR,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,DF,REDE,1808,THAYNARA MELO RODRIGUES,False,False,False,False,False,False,False,False,False,False,False,False,0,800.0
2018,DF,REDE,1813,OLAVO BATISTA DA SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,DF,REDE,1818,LEOCLIDES MILTON ARRUDA,False,False,False,False,False,False,False,False,False,False,False,False,0,90000.0
2018,DF,REDE,1819,ADRIANA BARBOSA ROCHA DE FARIA,False,False,False,False,False,False,False,False,False,False,False,False,0,800.0
2018,DF,REDE,1881,ANGELO SARAIVA DONGA,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,DF,SOLIDARIEDADE,7777,AUGUSTO SILVEIRA DE CARVALHO,True,True,True,True,True,True,False,False,True,False,True,True,0,641737.3200000001
2018,ES,AVANTE,7000,JORGE LUIZ CARRETA,False,False,False,False,False,False,False,False,False,False,False,False,0,17890.8
2018,ES,AVANTE,7007,ALEXANDRE MAGNO COLA,False,False,False,False,False,False,False,False,False,False,False,False,0,18022.3
2018,ES,DC,2701,RAMONE LINA TAVARES MENEZES,False,False,False,False,False,False,False,False,False,False,False,False,0,
2018,ES,DC,2707,ROSANGELA DE OLIVEIRA,False,False,False,False,False,False,False,False,False,False,False,False,0,4163.79
2018,ES,DC,2723,CLEONICE FERREIRA PINHEIRO,False,False,False,False,False,False,False,False,False,False,False,False,0,4157.91
2018,ES,DC,2727,VINICIUS ANDRE TEIXEIRA CARAN,False,False,False,False,False,False,False,False,False,False,False,False,0,3557.81
2018,ES,DC,2733,SILVESTRE SOARES OLIVEIRA,False,False,False,False,False,False,False,False,False,False,False,False,0,4157.91
2018,ES,DC,2744,WANDERSON ARAUJO COSTA,False,False,False,False,False,False,False,False,False,False,False,False,0,4157.91
2018,ES,DC,2755,CANDIDA CASSIA DE JESUS,False,False,False,False,False,False,False,False,False,False,False,False,0,4157.91
