ano_eleicao,sg_uf,nr_candidato,nm_candidato,sg_partido_norm,eleito,partido,proprios,pessoas_fisicas,coletivo_internet,demais,nao_partidarios,privado_proprio,privado_ampliado,necr,lista_sem_recursos,top_piso,top_arredondado,top_teto,alto_nao_partidarios,alto_privado_proprio
2022,PA,2200,JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,PL,1,0.0,127000.0,329650.0,0.0,0.0,456650.0,456650.0,456650.0,1.6139966705759796,False,0.0,0.0,0.0,True,True
2022,PA,2217,LENILDO MENDES DOS SANTOS SERTÃO,PL,1,500000.0,0.0,51151.13,0.0,11576.1,62727.229999999996,51151.13,51151.13,1.6139966705759796,False,0.0,1.0,1.0,False,False
2022,PA,2222,EDER MAURO CARDOSO BARRA,PL,1,1526000.0,47800.0,20000.0,0.0,3750.01,71550.01,67800.0,67800.0,1.6139966705759796,False,1.0,1.0,1.0,False,False
2022,PA,5522,RAIMUNDO JOSE PEREIRA DOS SANTOS,PSD,1,904000.0,34000.0,67714.68,0.0,14800.0,116514.68,101714.68,101714.68,9.005987597379871,False,1.0,1.0,1.0,False,False
2022,PA,5588,JOÃO FERRARI JÚNIOR,PSD,1,0.0,310000.0,213750.0,0.0,65566.5,589316.5,523750.0,523750.0,9.005987597379871,False,0.0,0.0,0.0,True,True
2022,PA,1313,DILVANDA FURTADO FARO,PT,1,1068420.0,0.0,84100.0,0.0,12041.88,96141.88,84100.0,84100.0,4.669403217251048,False,1.0,1.0,1.0,False,False
2022,PA,1321,AIRTON LUIZ FALEIRO,PT,1,1815280.0,84000.0,273650.0,0.0,15711.56,373361.56,357650.0,357650.0,4.669403217251048,False,1.0,1.0,1.0,True,True
2022,PA,4444,CELSO SABINO DE OLIVEIRA,UNIAO,1,2659400.0,40000.0,293000.0,0.0,38100.6,371100.6,333000.0,333000.0,9.336980664022882,False,1.0,1.0,1.0,True,True
2022,PB,2210,GILBERTO GOMES DA SILVA,PL,1,301400.0,68000.0,309458.32,0.0,0.0,377458.32,377458.32,377458.32,5.362964813174614,False,1.0,1.0,1.0,True,True
2022,PB,2222,JOSÉ WELLINGTON ROBERTO,PL,1,1107400.0,0.0,0.0,0.0,1348.53,1348.53,0.0,0.0,5.362964813174614,False,1.0,1.0,1.0,False,False
2022,PB,1111,AGUINALDO VELLOSO BORGES RIBEIRO,PP,1,2644344.0,0.0,273000.0,0.0,3454.05,276454.05,273000.0,273000.0,6.013946099496498,False,1.0,1.0,1.0,True,True
2022,PB,1144,FRANCISCO EMERSON ASSIS DE LUCENA,PP,1,1540692.3,0.0,280265.67,0.0,7669.0,287934.67,280265.67,280265.67,6.013946099496498,False,1.0,1.0,1.0,True,True
2022,PB,4040,GERVASIO AGRIPINO MAIA,PSB,1,2500000.0,0.0,0.0,0.0,13084.76,13084.76,0.0,0.0,5.52318387767571,False,1.0,1.0,1.0,False,False
2022,PB,2011,ROMERO RODRIGUES VEIGA,PSC,1,2500000.0,23574.11,20011.0,0.0,100635.29,144220.4,43585.11,43585.11,4.419589281585017,False,1.0,1.0,1.0,False,False
2022,PB,2030,RUY MANUEL CARNEIRO BARBOSA DE AÇA BELCHIOR,PSC,1,2500000.0,34500.0,223650.0,0.0,0.0,258150.0,258150.0,258150.0,4.419589281585017,False,1.0,1.0,1.0,True,True
2022,PB,1312,LUIZ ALBUQUERQUE COUTO,PT,1,1080700.0,17000.0,209724.72999999998,0.0,141.16,226865.88999999998,226724.72999999998,226724.72999999998,4.233392962825377,False,1.0,1.0,1.0,True,True
2022,PB,1010,JOSÉ WILSON SANTIAGO,REPUBLICANOS,1,1348764.0,22035.239999999998,108950.0,0.0,7703.92,138689.16,130985.23999999999,130985.23999999999,9.457326951059178,False,1.0,1.0,1.0,False,True
2022,PB,1011,HUGO MOTTA WANDERLEY DA NOBREGA,REPUBLICANOS,1,1616764.0,40000.0,74000.0,0.0,8491.64,122491.64,114000.0,114000.0,9.457326951059178,False,1.0,1.0,1.0,False,False
2022,PB,1044,CÁSSIO MURILO GALDINO DE ARAÚJO,REPUBLICANOS,1,2023431.0,0.0,23846.0,0.0,5655.26,29501.260000000002,23846.0,23846.0,9.457326951059178,False,1.0,1.0,1.0,False,False
2022,PB,4412,DAMIÃO FELICIANO DA SILVA,UNIAO,1,2800000.0,5000.0,30500.0,0.0,564.68,36064.68,35500.0,35500.0,7.9109113984125825,False,1.0,1.0,1.0,False,False
2022,PE,7070,WALDEMAR DE ANDRADA IGNÁCIO DE OLIVEIRA,AVANTE,1,2191742.0,78541.83,0.0,0.0,0.0,78541.83,78541.83,78541.83,8.438518623507962,False,1.0,1.0,1.0,False,False
2022,PE,1555,IZA PAULA DE DEUS E MELLO ALBUQUERQUE ARRUDA,MDB,1,800000.0,0.0,215801.3,0.0,0.0,215801.3,215801.3,215801.3,7.240061355215733,False,1.0,1.0,1.0,True,True
2022,PE,6513,RENILDO VASCONCELOS CALHEIROS,PC DO B,1,3008418.76,0.0,40960.5,0.0,0.0,40960.5,40960.5,40960.5,1.0540140250491963,False,1.0,1.0,1.0,False,False
2022,PE,2200,FRANCISCO EURICO DA SILVA,PL,1,2500000.0,0.0,27260.0,0.0,0.0,27260.0,27260.0,27260.0,3.018856992021144,False,1.0,1.0,1.0,False,False
2022,PE,2210,LUIZ DE FRANÇA E SILVA MEIRA,PL,1,173011.0,0.0,11000.0,0.0,2395.28,13395.28,11000.0,11000.0,3.018856992021144,False,0.0,0.0,1.0,False,False
2022,PE,2222,ANDRÉ FERREIRA RODRIGUES,PL,1,1000000.0,20000.0,297900.0,0.0,0.0,317900.0,317900.0,317900.0,3.018856992021144,False,1.0,1.0,1.0,True,True
2022,PE,2233,FERNANDO RODOLFO TENÓRIO DE VASCONCELOS,PL,1,1500000.0,23550.0,185162.71,0.0,1472.76,210185.47,208712.71,208712.71,3.018856992021144,False,1.0,1.0,1.0,True,True
