ano_eleicao,sg_uf,sg_partido_norm,C,NECr,total_recursos_partidarios,lista_sem_recursos,E,k_top_necr,proporcao_top_necr,empate_corte_top_necr,k_80,proporcao_nucleo_80,empate_corte_nucleo_80,k_acima_igual,proporcao_acima_divisao_igual,empate_corte_acima_divisao_igual,top_necr__nucleo_80__comum,top_necr__nucleo_80__uniao,top_necr__nucleo_80__jaccard,top_necr__nucleo_80__A_contida_B,top_necr__nucleo_80__B_contida_A,top_necr__nucleo_80__pesos_identicos,top_necr__nucleo_80__concordancia_candidaturas,top_necr__acima_divisao_igual__comum,top_necr__acima_divisao_igual__uniao,top_necr__acima_divisao_igual__jaccard,top_necr__acima_divisao_igual__A_contida_B,top_necr__acima_divisao_igual__B_contida_A,top_necr__acima_divisao_igual__pesos_identicos,top_necr__acima_divisao_igual__concordancia_candidaturas,nucleo_80__acima_divisao_igual__comum,nucleo_80__acima_divisao_igual__uniao,nucleo_80__acima_divisao_igual__jaccard,nucleo_80__acima_divisao_igual__A_contida_B,nucleo_80__acima_divisao_igual__B_contida_A,nucleo_80__acima_divisao_igual__pesos_identicos,nucleo_80__acima_divisao_igual__concordancia_candidaturas
2018,AM,PATRI,5,3.99999847048105,280.1,False,0,4,0.8,False,4,0.8,False,4,0.8,False,4.0,4.0,1.0,1.0,1.0,True,1.0,4.0,4.0,1.0,1.0,1.0,True,1.0,4.0,4.0,1.0,1.0,1.0,True,1.0
2018,AM,PC DO B,8,3.5332467654320556,189848.58000000002,False,0,4,0.5,True,5,0.625,False,2,0.25,False,4.0,5.0,0.8,1.0,0.8,False,0.875,2.0,4.0,0.5,0.5,1.0,False,0.75,2.0,5.0,0.4,0.4,1.0,False,0.625
2018,AM,PDT,3,1.6896551724137931,35000.0,False,0,2,0.6666666666666666,False,2,0.6666666666666666,False,1,0.3333333333333333,False,2.0,2.0,1.0,1.0,1.0,True,1.0,1.0,2.0,0.5,0.5,1.0,False,0.6666666666666667,1.0,2.0,0.5,0.5,1.0,False,0.6666666666666667
2018,AM,PHS,2,1.970845925493191,96485.0,False,0,2,1.0,False,2,1.0,False,1,0.5,False,2.0,2.0,1.0,1.0,1.0,True,1.0,1.0,2.0,0.5,0.5,1.0,False,0.5,1.0,2.0,0.5,0.5,1.0,False,0.5
2018,AM,PMB,9,1.7763401109057304,3100.0,False,0,2,0.2222222222222222,False,2,0.2222222222222222,False,2,0.2222222222222222,False,2.0,2.0,1.0,1.0,1.0,True,1.0,2.0,2.0,1.0,1.0,1.0,True,1.0,2.0,2.0,1.0,1.0,1.0,True,1.0
2018,AM,PMN,7,2.6666666666666665,120000.0,False,0,3,0.42857142857142855,False,2,0.2857142857142857,False,3,0.42857142857142855,False,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,False,0.8571428571428572,3.0,3.0,1.0,1.0,1.0,True,1.0,2.0,3.0,0.6666666666666666,1.0,0.6666666666666666,False,0.8571428571428572
2018,AM,PODE,5,2.508554264072091,19600.0,False,0,3,0.6,False,2,0.4,False,2,0.4,False,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,False,0.8,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,False,0.8,2.0,2.0,1.0,1.0,1.0,True,1.0
2018,AM,PP,2,1.0,1897386.0,False,1,1,0.5,False,1,0.5,False,1,0.5,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0
2018,AM,PPL,5,,0.0,True,0,0,0.0,False,0,0.0,False,0,0.0,False,0.0,0.0,,,,True,1.0,0.0,0.0,,,,True,1.0,0.0,0.0,,,,True,1.0
2018,AM,PPS,2,1.0,116816.01000000001,False,0,1,0.5,False,1,0.5,False,1,0.5,False,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0
