ano_eleicao,sg_uf,sg_partido_norm,regra,desfecho,n,k,total,hits,expected
2018,AL,PSD,nucleo_80,competitividade,2,2.0,0.0,0.0,0.0
2018,AL,PSD,nucleo_80,eleicao,2,2.0,1.0,1.0,1.0
2018,AL,PSD,acima_divisao_igual,competitividade,2,1.0,0.0,0.0,0.0
2018,AL,PSD,acima_divisao_igual,eleicao,2,1.0,1.0,1.0,0.5
2018,AL,PSDB,top_necr,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AL,PSDB,top_necr,eleicao,3,2.0,1.0,1.0,0.6666666666666666
2018,AL,PSDB,nucleo_80,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AL,PSDB,nucleo_80,eleicao,3,2.0,1.0,1.0,0.6666666666666666
2018,AL,PSDB,acima_divisao_igual,competitividade,3,1.0,1.0,0.0,0.3333333333333333
2018,AL,PSDB,acima_divisao_igual,eleicao,3,1.0,1.0,0.0,0.3333333333333333
2018,AL,PSL,top_necr,competitividade,10,0.0,1.0,0.0,0.0
2018,AL,PSL,top_necr,eleicao,10,0.0,0.0,0.0,0.0
2018,AL,PSL,nucleo_80,competitividade,10,0.0,1.0,0.0,0.0
2018,AL,PSL,nucleo_80,eleicao,10,0.0,0.0,0.0,0.0
2018,AL,PSL,acima_divisao_igual,competitividade,10,0.0,1.0,0.0,0.0
2018,AL,PSL,acima_divisao_igual,eleicao,10,0.0,0.0,0.0,0.0
2018,AL,PSOL,top_necr,competitividade,2,1.0,0.0,0.0,0.0
2018,AL,PSOL,top_necr,eleicao,2,1.0,0.0,0.0,0.0
2018,AL,PSOL,nucleo_80,competitividade,2,1.0,0.0,0.0,0.0
2018,AL,PSOL,nucleo_80,eleicao,2,1.0,0.0,0.0,0.0
2018,AL,PSOL,acima_divisao_igual,competitividade,2,1.0,0.0,0.0,0.0
2018,AL,PSOL,acima_divisao_igual,eleicao,2,1.0,0.0,0.0,0.0
2018,AL,PSTU,top_necr,competitividade,1,0.0,0.0,0.0,0.0
2018,AL,PSTU,top_necr,eleicao,1,0.0,0.0,0.0,0.0
2018,AL,PSTU,nucleo_80,competitividade,1,0.0,0.0,0.0,0.0
2018,AL,PSTU,nucleo_80,eleicao,1,0.0,0.0,0.0,0.0
2018,AL,PSTU,acima_divisao_igual,competitividade,1,0.0,0.0,0.0,0.0
2018,AL,PSTU,acima_divisao_igual,eleicao,1,0.0,0.0,0.0,0.0
2018,AL,PT,top_necr,competitividade,1,1.0,1.0,1.0,1.0
2018,AL,PT,top_necr,eleicao,1,1.0,1.0,1.0,1.0
2018,AL,PT,nucleo_80,competitividade,1,1.0,1.0,1.0,1.0
2018,AL,PT,nucleo_80,eleicao,1,1.0,1.0,1.0,1.0
2018,AL,PT,acima_divisao_igual,competitividade,1,0.0,1.0,0.0,0.0
2018,AL,PT,acima_divisao_igual,eleicao,1,0.0,1.0,0.0,0.0
2018,AL,PTB,top_necr,competitividade,2,2.0,1.0,1.0,1.0
