Ano,UF,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2022,BA,Competitivos na lista (%),29,0,12.585580813668782,17.08285708596427,0.0,0.0,7.894736842105263,15.384615384615385,66.66666666666667
2022,BA,Bancada pré-eleitoral (Mp),29,0,1.3448275862068966,2.022654939658791,0.0,0.0,1.0,2.0,7.0
2022,BA,Eleitos (E),29,0,1.3448275862068966,2.0402356668666193,0.0,0.0,0.0,2.0,7.0
2022,BA,NECr,28,1,8.650149205968075,6.797007649248652,1.0,3.1976481449834755,6.572954208004692,13.511771544261231,30.024769916863466
2022,BA,D = C − NECr,28,1,15.171279365460496,11.325270043721948,0.0,4.516560589921113,13.709440946858923,25.174182896945005,34.59442598705819
2022,BA,Q = C / NECr,28,1,3.7310197540530745,2.6117320741701593,1.0,1.6691090161242086,2.878647035570588,4.829108229958547,9.520036815911265
2022,BA,NECr / Mp (Mp > 0),15,14,4.130289564292571,3.421259122101637,1.0375089895338263,2.195681220903826,3.1512483176388195,4.506054320660915,14.16122150902664
2022,BA,NECr / E (E > 0),14,15,4.044062221111957,3.2049237216047937,1.0375089895338263,2.4499074421647125,3.307177637927462,4.5562944745204685,14.16122150902664
2022,BA,NECr − E,28,1,7.257292063110933,6.36521080599585,0.07501797906765262,2.798316467399479,5.545484645310818,9.65999788252778,30.024769916863466
2022,BA,Cobertura Top-NECr por lista (%),14,15,100.0,0.0,100.0,100.0,100.0,100.0,100.0
2022,BA,Precisão Top-NECr por lista (%),28,1,19.280654861012003,27.802286444990223,0.0,0.0,3.5714285714285716,30.0,100.0
2022,CE,Candidatos (C),28,0,12.5,7.729213461972747,1.0,3.75,15.5,18.0,23.0
2022,CE,Competitivos (F),28,0,1.75,2.619372274250285,0.0,0.0,1.0,3.0,9.0
2022,CE,Competitivos na lista (%),28,0,13.418133158887299,17.61171490511877,0.0,0.0,5.555555555555555,21.25,50.0
2022,CE,Bancada pré-eleitoral (Mp),28,0,0.7857142857142857,1.7289933456835482,0.0,0.0,0.0,0.25,7.0
2022,CE,Eleitos (E),28,0,0.7857142857142857,1.5952973218098077,0.0,0.0,0.0,0.25,5.0
2022,CE,NECr,26,2,6.734212212394145,5.113141585143689,1.0,2.079512961375994,6.592002226030617,10.219347305417802,16.816156670746636
2022,CE,D = C − NECr,26,2,6.188864710682779,5.450945402291597,0.0,1.5000065725336413,6.116531742390222,9.684060262549334,18.45632369145253
2022,CE,Q = C / NECr,26,2,2.2471087950195656,1.4213879749372826,1.0,1.1788441448078548,1.9474541740278228,2.5299053699832337,6.20824197371956
2022,CE,NECr / Mp (Mp > 0),7,21,3.5676356768361757,2.2216243164769276,1.309273664104646,2.0044081072985906,2.5899158540923155,5.114765272535146,6.835913459988796
