Ano,Partido,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2022,PT,Eleitos (E),27,0,2.5555555555555554,3.004270464795243,0.0,0.5,2.0,3.5,11.0
2022,PT,NECr,27,0,5.938484989462801,6.0445069665017535,1.2302000548095369,2.7263974252930967,3.486547300340961,6.202733649870247,28.26967840189715
2022,PT,D = C − NECr,27,0,7.357811306833495,8.054883200324998,0.20507400142348242,1.8609648091367568,3.766607037174624,10.160074999842138,28.73032159810285
2022,PT,Q = C / NECr,27,0,2.181009096926653,0.7160617586543112,1.0733736784186516,1.6560773719973367,2.016294603343446,2.5294612311986047,4.1415652633266244
2022,PT,NECr / Mp (Mp > 0),24,3,3.0546971133970153,1.8748379427461839,1.2145547190196213,1.9054511692237925,2.6609908336207875,3.4069101655724787,9.710044257831095
2022,PT,NECr / E (E > 0),20,7,2.4100533460838207,1.4731445453346084,1.1534351180097173,1.553446947418903,1.8742170771272617,2.47608871827312,6.390713176560139
2022,PT,NECr − E,27,0,3.3829294339072464,3.461948449399505,0.23020005480953687,1.4082025968794778,2.7949259985765176,3.5652626465378185,17.26967840189715
2022,PT,Cobertura Top-NECr por lista (%),20,7,98.75,5.5901699437494745,75.0,100.0,100.0,100.0,100.0
2022,PT,Precisão Top-NECr por lista (%),27,0,38.37375073486185,28.521061587416384,0.0,8.333333333333334,43.75,60.0,100.0
2022,PTB,Candidatos (C),26,0,18.153846153846153,16.03918279138263,4.0,9.0,10.0,18.75,70.0
2022,PTB,Competitivos (F),26,0,1.3846153846153846,1.444352396804134,0.0,0.0,1.0,2.75,5.0
2022,PTB,Competitivos na lista (%),26,0,7.8260567005318515,8.880792977172648,0.0,0.0,6.316489361702128,14.874551971326165,27.272727272727273
2022,PTB,Bancada pré-eleitoral (Mp),26,0,0.11538461538461539,0.32581259360842113,0.0,0.0,0.0,0.0,1.0
2022,PTB,Eleitos (E),26,0,0.038461538461538464,0.19611613513818402,0.0,0.0,0.0,0.0,1.0
2022,PTB,NECr,23,3,4.770522304153038,2.237635564979891,1.0761333136306894,3.2598095208154847,4.231007463464461,6.702074256454938,8.214149928427656
2022,PTB,D = C − NECr,23,3,14.88165160889044,16.18598557748199,0.8077622998452405,4.547623101489051,7.92386668636931,19.293075628842885,64.68930157695269
2022,PTB,Q = C / NECr,23,3,4.8791301764243205,4.133194699241085,1.0986009353500548,2.028868309814768,3.3404552131890393,6.303888205758313,17.17961767893676
2022,PTB,NECr / Mp (Mp > 0),3,23,3.9185857055354454,0.6058092298349836,3.292964371014155,3.6266690418464287,3.9603737126787024,4.231396372796091,4.50241903291348
2022,PTB,NECr / E (E > 0),1,25,4.50241903291348,,4.50241903291348,4.50241903291348,4.50241903291348,4.50241903291348,4.50241903291348
2022,PTB,NECr − E,23,3,4.727044043283472,2.2527459260179747,1.0761333136306894,3.2598095208154847,4.070796243963222,6.702074256454938,8.214149928427656
2022,PTB,Cobertura Top-NECr por lista (%),1,25,0.0,,0.0,0.0,0.0,0.0,0.0
2022,PTB,Precisão Top-NECr por lista (%),23,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
