ano,uf,partido,C,total,NECr,k,E,F,hE,hF,esperado_E,esperado_F,empate,recebedores
2022,RS,PDT,28,6902651.14,5.673693812818795,6,2,3,2.0,3.0,0.42857142857142855,0.6428571428571429,False,28
2022,RS,PL,31,9104279.150000002,4.67944970206504,5,4,7,3.0,4.0,0.6451612903225806,1.1290322580645162,False,25
2022,RS,PODE,28,5969020.14,4.661234135138024,5,1,2,0.0,2.0,0.17857142857142858,0.35714285714285715,False,27
2022,RS,PP,27,10401000.0,5.8145712140222034,6,3,7,3.0,6.0,0.6666666666666666,1.5555555555555556,False,26
2022,RS,PROS,3,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
2022,RS,PRTB,7,105205.7,4.515938612023571,5,0,0,0.0,0.0,0.0,0.0,False,7
2022,RS,PSB,23,8521000.0,7.212632236665323,7,1,3,1.0,3.0,0.30434782608695654,0.9130434782608695,False,23
2022,RS,PSC,29,740000.0,20.547842401500933,21,0,1,0.0,1.0,0.0,0.7241379310344828,True,26
2022,RS,PSD,28,6723380.800000001,7.600934886800204,8,1,7,1.0,5.0,0.2857142857142857,2.0,False,28
2022,RS,PSDB,23,7480370.98,7.573606909368637,8,2,4,2.0,4.0,0.6956521739130435,1.391304347826087,False,23
2022,RS,PSOL,30,5935442.089999999,7.5928115280393,8,1,2,1.0,2.0,0.26666666666666666,0.5333333333333333,False,30
2022,RS,PSTU,3,5500.0,1.6575342465753424,2,0,0,0.0,0.0,0.0,0.0,False,2
2022,RS,PT,25,14464366.43,9.643977992734676,10,6,7,6.0,7.0,2.4,2.8,False,25
2022,RS,PTB,31,5234510.0,8.195181135764429,8,0,5,0.0,5.0,0.0,1.2903225806451613,False,30
2022,RS,PV,2,531584.0,1.993048677905413,2,0,0,0.0,0.0,0.0,0.0,False,2
2022,RS,REDE,2,230000.0,1.2195121951219512,1,0,0,0.0,0.0,0.0,0.0,False,2
2022,RS,REPUBLICANOS,32,7953634.379999999,7.149452145541751,7,3,7,3.0,6.0,0.65625,1.53125,False,32
2022,RS,SOLIDARIEDADE,25,573538.28,16.625583194295245,17,0,0,0.0,0.0,0.0,0.0,False,25
2022,RS,UNIAO,28,5588794.71,6.974504114809445,7,1,3,1.0,3.0,0.25,0.75,False,25
2022,RS,UP,2,81379.0,1.9994258714524231,2,0,0,0.0,0.0,0.0,0.0,False,2
2022,SC,AVANTE,12,1575000.0,6.894871858016101,7,0,0,0.0,0.0,0.0,0.0,False,12
