year,model,variable,cluster,n_clusters,beta,se,ratio,p_norm,p_t
2022,R2,n_eleicoes_senador,lista_id,623,1.238563631134978,0.1828399672760516,3.4506534922001855,1.2524270055067703e-11,2.9072530881227078e-11
2022,R2,n_eleicoes_deputado_federal,lista_id,623,0.43915328781131185,0.02159735696087132,1.5513930788115204,6.478668324202793e-92,7.342224908857607e-71
2022,R2,n_eleicoes_deputado_estadual,lista_id,623,0.39026876360710056,0.027412920222209772,1.4773778059172282,5.424943087583641e-46,5.14115573124393e-40
2022,R2,n_eleicoes_prefeito,lista_id,623,0.35255077377249117,0.03912947450825575,1.422691889349142,2.063347742846825e-19,2.5126066102889217e-18
2022,R2,n_eleicoes_vereador,lista_id,623,0.16676956370186927,0.020773193500467062,1.1814819776038539,9.898255674839821e-16,4.9591112001725e-15
2022,R2,prop_votos_nominais_lag,lista_id,623,1.0248886605692342,0.11933647841320781,2.7867851642182115,8.832231850080838e-18,7.093999383195244e-17
2022,R2,qe_sem_vitoria,lista_id,623,0.5313869020055765,0.072444735083806,1.701290195946095,2.216125037365537e-13,6.940445085081336e-13
2022,R2,mulher,lista_id,623,0.28034022435893885,0.03529942539121715,1.3235800499161852,1.9930230945827167e-15,9.355866765837323e-15
2022,R2,negra,lista_id,623,-0.07487199457234255,0.03422735764721625,0.9278622501313203,0.028706789502380314,0.029078308821652996
2022,R2,n_eleicoes_governador,sg_partido,31,0.28795297555035887,0.18702208067653492,1.3336945863948482,0.123639915106163,0.1341224617707541
2022,R2,n_eleicoes_senador,sg_partido,31,1.238563631134978,0.1610891287202462,3.4506534922001855,1.4865449519169872e-14,1.4116565484751885e-08
2022,R2,n_eleicoes_deputado_federal,sg_partido,31,0.43915328781131185,0.028410014427162608,1.5513930788115204,6.695358595947753e-54,7.865684849263219e-16
2022,R2,n_eleicoes_deputado_estadual,sg_partido,31,0.39026876360710056,0.03273350980473228,1.4773778059172282,9.024018685934442e-33,6.558252438681227e-13
2022,R2,n_eleicoes_prefeito,sg_partido,31,0.35255077377249117,0.029063945907643808,1.422691889349142,7.309234200182112e-34,4.259442829546986e-13
2022,R2,n_eleicoes_vereador,sg_partido,31,0.16676956370186927,0.02555031168908616,1.1814819776038539,6.705310404190209e-11,3.2277511002520953e-07
2022,R2,prop_votos_nominais_lag,sg_partido,31,1.0248886605692342,0.1977680651984554,2.7867851642182115,2.1919475597657733e-07,1.3922561459574442e-05
2022,R2,qe_sem_vitoria,sg_partido,31,0.5313869020055765,0.09476668742775692,1.701290195946095,2.0548653708512504e-08,4.196867584661945e-06
2022,R2,mulher,sg_partido,31,0.28034022435893885,0.039434473367261615,1.3235800499161852,1.168748690320742e-12,6.607203957976849e-08
2022,R2,negra,sg_partido,31,-0.07487199457234255,0.044404445775551804,0.9278622501313203,0.09176934728692773,0.10214398905818892
